분류,용어,한자/영문,정의,관련공종,검증등급
취부,개선각,Bevel Angle,개선 가공의 각도,취부,E
취부,가용접,Tack weld,본용접까지 이음을 정위치에 붙잡는 임시 용접. 길이·피치·품질 모두 관리 대상,취부,E
취부,스트롱백,Strong back,판의 단차·벌어짐을 잡는 임시 보강재. 본용접 후 제거·사상,취부,G
취부,이렉션 피스,Erection Piece / 도그 피스,부재를 당기거나 밀어 위치를 잡는 임시 조각. 제거부 사상 누락이 검사 지적 단골,취부,G
취부,쐐기,Wedge,틈을 벌리거나 위치를 맞출 때 박아 쓰는 쇠붙이,취부,G
취부,서포트,Support,부재를 받쳐 자세를 유지하는 임시 지지물,취부,G
취부,턴버클,Turnbuckle,나사로 길이를 조절해 부재를 당기는 공구,취부,G
용접품질,각장,Leg Length,필렛 용접의 다리 길이. 부족하면 강도 미달,용접,E
용접품질,언더컷,Undercut,용접 경계에서 모재가 파인 결함,용접,E
용접품질,오버랩,Overlap,비드가 모재 위로 겹쳐 융합되지 않은 결함,용접,E
용접품질,기공,Porosity,용접부 내부에 생긴 공기구멍,용접,E
용접품질,슬래그 혼입,Slag inclusion,슬래그가 용접부에 갇힌 결함,용접,E
용접품질,융합불량,Lack of Fusion,모재와 용착금속이 붙지 않은 결함,용접,E
용접품질,용입부족,Incomplete Penetration,용접 깊이가 부족한 결함,용접,E
용접품질,용락,Burn through,과대 갭·과다 입열로 용융금속이 흘러내려 구멍이 나는 현상,용접,E
용접품질,백비드,Back bead,이면(반대쪽)에 형성되는 용접 비드,용접,G
용접품질,백가우징,Back gouging,이면 결함부를 파내고 재용접 준비하는 작업,용접,E
용접품질,세라믹 백킹,Ceramic Backing,편면용접에서 이면을 받쳐 비드를 형성시키는 재료,용접,E
용접품질,입열량,Heat Input,용접 시 투입되는 열량. 과대하면 변형·재질 열화,용접,E
용접품질,예열,Preheat,용접 전 모재를 가열하는 처리. 고장력강·후판에 요구,용접,E
용접품질,층간온도,Interpass temperature,다층 용접에서 각 층 사이 유지 온도,용접,E
용접품질,WPS,Welding Procedure Specification,용접절차서. 갭·전류·속도·자세 등을 규정,용접,E
용접품질,PQR,Procedure Qualification Record,용접절차검정기록,용접,E
용접자세,아래보기,F / Flat,가장 쉬운 자세. 불량률 낮음,용접,E
용접자세,수평,H / Horizontal,중간 난이도 자세,용접,E
용접자세,수직,V / Vertical,난이도 높은 자세,용접,E
용접자세,위보기,OH / Overhead,가장 난이도 높은 자세. 공수와 불량률이 동시에 상승,용접,E
검사,VT,Visual Test,육안 외관검사,검사,E
검사,MT,Magnetic Particle Test,자분탐상검사. 표면·근표면 결함,검사,E
검사,PT,Penetrant Test,침투탐상검사. 표면 결함,검사,E
검사,UT,Ultrasonic Test,초음파탐상검사. 내부 결함,검사,E
검사,RT,Radiographic Test,방사선투과검사. 구역 통제·야간 작업 필요로 공정 간섭 큼,검사,E
검사,NDT,Non-Destructive Test,비파괴검사 총칭,검사,E
검사,취부검사,Fit-up inspection,본용접 전 갭·하이로·개선·위치를 확인하는 검사,검사,G
검사,내부검사,Internal inspection,탱크·구역 내부를 도장 전에 확인하는 검사. 규칙상 모든 구역 대상,검사,E
검사,입회검사,立會檢査 / Witness,선주 감독관 또는 선급 검사원이 현장에 입회해 수행하는 검사,검사,E
검사,용도결정,用途決定,검사 판정 결과 코드. A(합격)와 R(불합격·재검사)로 표기,검사,G
검사,A,Accept,검사 합격 판정,검사,G
검사,R,Reject / Re-inspection,검사 불합격. 보수 후 재검 대상,검사,G
검사,재검,再檢 / Re-inspection,R 판정 후 보수를 거쳐 다시 받는 검사. 데이터상 원 검사와 별도 행으로 쌓이므로 분모가 시행 횟수 기준으로 늘어남,검사,C
검사,검사 차수,檢査次數 / Inspection round,같은 부위에 대한 몇 번째 검사인지(1차·2차). 이 구분이 데이터에 없으면 1차 R률을 셀 수 없음,검사,?
검사,선급,Classification Society,규칙 기준으로 선박을 검사·등록하는 기관. KR·DNV·LR·ABS 등,검사,E
검사,선주 감독관,Owner Supervisor,선주 측 현장 감독. 계약·사양 기준으로 검사,검사,G
곡직,선상가열,Line heating,선을 따라 가열해 변형을 교정하는 방법. 현업에서 가장 널리 사용,곡직,E
곡직,점가열,Spot heating,점 단위 가열. 특히 두께 5mm 이하 박판에 사용,곡직,E
곡직,격자가열,Grid heating,격자 패턴으로 가열해 면 변형을 교정,곡직,E
곡직,십자가열,Cross heating,십자 패턴 가열,곡직,E
곡직,역변형,Reverse deformation,용접 수축을 예상해 반대 방향으로 미리 변형을 부여하는 기법,취부,G
곡직,잔류응력,Residual stress,용접 후 구조물에 남는 내부 응력,곡직,E
정도,센터라인,C.L / Center Line,선체 폭 방향 중심 기준선,정도,E
정도,버트라인,B.L / Buttock Line,종방향 기준선,정도,E
정도,수선,W.L / Water Line,흘수 기준선. 지표에서 쓰는 W.L(작업량)과 약어 충돌 주의,정도,E
정도,마킹,Marking,정반·부재에 기준선·위치선·절단선·검사선을 표시하는 작업,배재,G
정도,여유,Margin / Excess,절단 여유와 수축 여유. 후공정 탑재 정도 확보용으로 미리 크게 잡는 값,정도,G
정도,수축 여유,Shrinkage margin,용접 수축량을 예상해 부여하는 여유,정도,G
정도,대각선 치수,Diagonal,블록 뒤틀림을 확인하는 계측 항목,정도,G
정도,토탈스테이션,Total Station,광학 계측기. 블록 주요점 좌표 계측,정도,G
정도,3D 스캐너,3D Scanner,블록 형상을 점군으로 계측하는 장비,정도,G
구조부재,론지,Longitudinal / 종통재,선체 길이 방향 보강재,소조립,E
구조부재,거더,Girder,주요 대형 보강 부재,소조립,E
구조부재,플로어,Floor,이중저 횡방향 부재,소조립,E
구조부재,웹,Web,형강·보강재의 수직판 부분,소조립,E
구조부재,브라켓,Bracket,부재 교차부를 보강하는 삼각·부채 형상 조각,소조립,E
구조부재,스티프너,Stiffener,판의 좌굴을 막는 보강재,소조립,E
구조부재,격벽,Bulkhead,구획을 나누는 벽 구조,중조립,E
구조부재,외판,Shell Plate,선체 외부를 이루는 판,중조립,E
구조부재,평블록,Flat Block,평면 중심의 블록. 중조립 산출물,중조립,E
구조부재,곡블록,Curved Block,곡면 외판으로 구성된 블록. 핀지그에서 조립,대조립,E
강재,일반강,Grade A/B/D/E,표준 조선용 강재 등급,전공종,E
강재,고장력강,AH/DH/EH 32·36,항복강도가 높은 강재. 입열·예열·층간온도 관리 엄격. 곡직 제한 대상,용접/곡직,G
안전,족장,足場 / Scaffold,고소 작업 발판. 설치 완료 전 용접·사상 착수 불가. 해체 전 반출 불가,전공종,G
안전,밀폐구역,Confined Space,입체블록 내부 등 산소결핍·유해가스 위험 구역,용접/사상,E
안전,합체 양중,2기 양중,크레인 2대를 동시에 사용하는 인양. 그 베이의 다른 양중이 정지,양중,G
안전,반전,Turn over / 전도,블록을 뒤집어 반대면을 작업하는 것. 하중 중심 이동 순간이 가장 위험,반출,G
생산관리,W.L,Work Load / 작업량,공수 환산 작업량. 설계 문서의 W.L(수선)과 구분 필요,생산관리,G
생산관리,Work Front,Work Front,선행 완료로 후행이 착수 가능해진 구간. 인력 배치 판단 기준,생산관리,G
생산관리,기성,旣成,완료 물량을 금액으로 환산한 값. 완료블럭 수 × 블럭당 금액,생산관리,G
생산관리,공수,工數 / Man-hour,투입 인시,생산관리,E
생산관리,조업도,操業度,t/man·day. 처리량 기준 가동 수준,생산관리,G
생산관리,원단위,原單位,단위 물량당 투입 자원,생산관리,G
생산관리,재공,WIP / 在工,공정 중에 머물러 있는 물량,생산관리,E
생산관리,물량정보,物量情報,호선·블럭·AREA·중량 등을 담은 마스터 데이터. 정도불량률의 과 배정에 사용,데이터,G
생산관리,AREA,AREA,공장·구역 코드. 과 배정의 기준이 되는 필드,데이터,G
생산관리,호선,號船 / Hull No.,선박 단위 식별 번호. 대외 반출물에는 사용 금지,데이터,G
생산관리,블럭,Block,조립 단위 구조체. 지표 집계의 기본 단위,데이터,G
생산관리,결품,缺品,배재 시점에 부재가 없는 상태. 취부 착수 불가의 직접 원인,배재,G
생산관리,적치장,Stock yard,블록을 임시로 쌓아두는 야외 구역,반출,G
